School district,Reopening Instructional Model,First Day of School,District Plan,,
Middletown Area SD,Blended,8/31/2020,https://raiderweb.org/news/what_s_new/re-entry_center,,
Midland Borough SD,Blended,9/8/2020,https://www.midlandpa.org/,,
Mifflin County SD,In-Person,8/26/2020,https://www.mcsdk12.org/covid-19-and-school-return-to-school-planning/,,
Mifflinburg Area SD,Blended,9/8/2020,https://www.mifflinburg.org/,,
Millcreek Township SD,Blended,9/8/2020,https://www.mtsd.org/rts,,
Millersburg Area SD,In-Person,8/24/2020,https://www.mlbgsd.k12.pa.us/reopening,,
Millville Area SD,In-Person,8/31/2020,https://www.millville.k12.pa.us/Content2/784,,
Milton Area SD,In-Person,8/20/2020,https://www.milton.k12.pa.us/school-reopening/,,
Minersville Area SD,Blended,8/31/2020,https://www.battlinminers.com/,,
Mohawk Area SD,Blended,8/31/2020,https://www.mohawk.k12.pa.us/s/Mohawk-2020-2021.pdf,,
Monessen City SD,Remote,9/8/2020,https://www.monessenschooldistrict.com/,,
Moniteau SD,In-Person,9/8/2020,https://sites.google.com/moniteau.org/covid-19/covid-19,,
Montgomery Area SD,In-Person,8/31/2020,https://www.montasd.org/wp-content/uploads/2020/07/COVID19ReopeningLetter.pdf,,
Montour SD,Blended,9/1/2020,https://www.montourschools.com/apps/news/article/1238991,,
Montoursville Area SD,Blended,9/1/2020,https://www.montoursville.k12.pa.us/schools/montoursville-high-school/,,
Montrose Area SD,In-Person,9/8/2020,http://www.masd.info/,,
Moon Area SD,Remote,8/31/2020,https://www.moonarea.net/News/2020-21-virtual-learning-reopening-plan,,
Morrisville Borough SD,Remote,9/8/2020,https://www.mv.org/mv,,
Moshannon Valley SD,In-Person,8/26/2020,https://www.movalley.org/,,
Mount Carmel Area SD,In-Person,8/24/2020,https://www.mca.k12.pa.us/wp/,,
Mount Pleasant Area SD,In-Person,8/26/2020,https://4.files.edl.io/8ef2/07/23/20/183112-eeb717d2-bf76-4af6-a000-a87f456ea447.pdf,,
Mount Union Area SD,In-Person,8/26/2020,https://www.muasd.org/UserFiles/Servers/Server_3265386/File/Covid 19/MUASD update 8-19-20.pdf,,
Mountain View SD,Blended,8/27/2020,https://www.mvsd.net/,,
Mt Lebanon SD,Remote,8/31/2020,https://www.mtlsd.org/district/reopening-education-plan/reopening-education-plan,,
Muhlenberg SD,Remote,8/31/2020,https://www.muhlsdk12.org/Page/5741,,
Muncy SD,In-Person,8/31/2020,https://www.muncysd.org/,,
Nazareth Area SD,Blended,8/31/2020,https://www.nazarethasd.k12.pa.us/site/Default.aspx?PageID=1175,,
Neshaminy SD,Remote,Sep 8,https://www.neshaminy.org/reopen,,
Neshannock Township SD,Blended,9/8/2020,https://www.ntsd.org/2020/08/06/2020-reopening-plan/,,
New Brighton Area SD,Blended,8/31/2020,https://www.nbasd.org/coronavirus,,
New Castle Area SD,Remote,8/31/2020,https://filecabinet5.eschoolview.com/0D225C6C-171E-4CB5-90B1-1125271304B0/1e1459d9-8bef-4891-9b38-d49255b1582a.pdf,,
New Hope-Solebury SD,Remote,9/8/2020,https://www.nhsd.org/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=2368&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=4030&PageID=1,,
New Kensington-Arnold SD,In-Person,9/8/2020,https://www.nkasd.com/apps/news/,,
Newport SD,Blended,8/25/2020,https://www.newportsd.org/,,
Norristown Area SD,Remote,8/31/2020,https://www.nasd.k12.pa.us/domain/596,,
North Allegheny SD,Blended,9/8/2020,https://www.northallegheny.org/Page/32441,,
North Clarion County SD,In-Person,8/26/2020,https://www.northclarion.org/,,
North East SD,In-Person,8/31/2020,https://www.nesd1.org/updates,,
North Hills SD,Remote,8/25/2020,https://www.nhsd.net/reopening.aspx,,
North Penn SD,Remote,8/31/2020,https://resources.npenn.org/20-21_virtual_opening,,
North Pocono SD,Blended,8/31/2020,http://www.npsd.org/images/stories/healthdocs/health_and_safety_plan.pdf,,
North Schuylkill SD,Blended,8/27/2020,http://www.northschuylkill.net/,,
North Star SD,In-Person,8/27/2020,https://www.nscougars.com/apps/pages/index.jsp?uREC_ID=1128527&type=d&pREC_ID=1399318,,
Northampton Area SD,Blended,8/31/2020,https://www.nasdschools.org/site/default.aspx?PageType=3&DomainID=8&ModuleInstanceID=2453&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=10243&PageID=9,,
Northeast Bradford SD,Blended,8/31/2020,https://www.nebpanthers.com/article/289832?org=nebsd,,
Northeastern York SD,In-Person,8/27/2020,https://www.nesd.k12.pa.us/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=3436&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=10063&PageID=1,,
Northern Bedford County SD,Blended,9/14/2020,https://www.nbcsd.org/,,
Northern Cambria SD,Blended,9/8/2020,http://www.ncsd.k12.pa.us/,,
Northern Lebanon SD,Blended,8/31/2020,https://www.norleb.org/coronavisus-updates/re-opening-information,,
Northern Lehigh SD,Blended,8/31/2020,https://www.nlsd.org/home,,
Northern Potter SD,In-Person,8/26/2020,https://www.northernpottersd.org/,,
Northern Tioga SD,In-Person,8/26/2020,https://www.ntiogasd.org/wp-content/uploads/2020/07/Phased-School-Reopening-Health-and-Safety-Plan-Website.pdf,,
Northern York County SD,Blended,9/8/2020,https://www.northernpolarbears.com/Page/13994,,
Northgate SD,Remote,8/31/2020,https://www.northgatesd.net/departments/health-wellness/covid-19,,
Northwest Area SD,Blended,8/31/2020,https://www.nasdedu.com/,,
Northwestern Lehigh SD,Blended,8/31/2020,https://www.nwlehighsd.org/site/default.aspx?PageType=3&DomainID=8&ModuleInstanceID=11137&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=24494&PageID=9,,
Northwestern SD,Blended,8/25/2020,https://www.nwsd.org/,,
Norwin SD,Blended,8/31/2020,https://www.norwinsd.org/apps/pages/reopening,,
Octorara Area SD,Remote,9/8/2020,https://www.octorara.k12.pa.us/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=13&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=3747&PageID=1,,
Oil City Area SD,Blended,9/1/2020,https://www.ocasd.org/wp-content/uploads/2020/07/oc-phased-reope_47915978-1.pdf,,
Old Forge SD,Blended,9/8/2020,https://ofsd.cc/corona-virus-information/plans/,,
Oley Valley SD,Blended,8/24/2020,https://www.oleyvalleysd.org/covid-19-4baaaf57,,
Oswayo Valley SD,In-Person,8/27/2020,http://oswayovalley.com/wordpress/,,
Otto-Eldred SD,In-Person,8/26/2020,https://www.ottoeldred.org/,,
Owen J Roberts SD,Remote,9/8/2020,https://www.ojrsd.com/domain/1696,,
Oxford Area SD,Blended,8/31/2020,https://www.oxfordasd.org/,,
Palisades SD,In-Person,9/1/2020,https://www.palisd.org/news/what_s_new/reopening_of_facilities_and_schools,,
Palmerton Area SD,Blended,9/8/2020,https://www.palmerton.org/return-to-school-information/,,
Palmyra Area SD,Blended,8/31/2020,https://www.palmyraportal.org/website/index.php,,
Panther Valley SD,In-Person,9/8/2020,http://pvsd.sharpschool.net/,,
Parkland SD,Blended,8/31/2020,https://www.parklandsd.org/schools/return-to-school,,
Pen Argyl Area SD,Blended,8/31/2020,https://www.penargylschooldistrict.org/penargyl/District/Coronavirus Resources and Communications/,,
Penn Cambria SD,Blended,9/8/2020,http://pcam.org/,,
Penn Hills SD,Blended,9/8/2020,https://www.phsd.k12.pa.us/,,
Penn Manor SD,Blended,8/31/2020,https://www.pennmanor.net/blog/2020/08/04/full-details-of-districts-blended-learning-reopening-plan/,,
Penn-Delco SD,Remote,9/8/2020,https://www.pdsd.org/domain/1557,,
Penn-Trafford SD,Blended,8/27/2020,https://www.penntrafford.org/,,
Penncrest SD,In-Person,9/2/2020,https://www.penncrest.org/departments/health-services/coronavirus-resources,,
Pennridge SD,Blended,9/2/2020,https://sites.google.com/a/pennridge.us/pennridge-school-district/,,
Penns Manor Area SD,In-Person,8/31/2020,https://www.pennsmanor.org/apps/pages/index.jsp?uREC_ID=1696935&type=d&pREC_ID=1858237,,
Penns Valley Area SD,In-Person,8/25/2020,https://www.pennsvalley.org/apps/pages/covid-19,,
Pennsbury SD,Remote,9/8/2020,https://sites.google.com/pennsburysd.org/covid19/information-from-the-superintendent,,
Pequea Valley SD,In-Person,8/25/2020,https://www.pequeavalley.org/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=2975&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=8384&PageID=1,,
Perkiomen Valley SD,Remote,9/8/2020,http://www.pvsd.org/departments/health-services/coronavirus-covid-19/district-communications,,
Peters Township SD,In-Person,8/24/2020,https://www.ptsd.k12.pa.us/BacktoSchool2020.aspx,,
Philadelphia City SD,Remote,9/2/2020,https://www.philasd.org/coronavirus/schoolstart2020/,,
Philipsburg-Osceola Area SD,In-Person,8/26/2020,https://www.pomounties.org/,,
Phoenixville Area SD,Remote,8/24/2020,https://www.pasd.com/our_district/reopening_information,,
Pine Grove Area SD,Blended,8/27/2020,https://www.pgasd.com/site/Default.aspx?PageID=1185,,
Pine-Richland SD,Blended,9/1/2020,https://www.pinerichland.org/site/default.aspx?PageType=3&ModuleInstanceID=11235&ViewID=7b97f7ed-8e5e-4120-848f-a8b4987d588f&RenderLoc=0&FlexDataID=32960&PageID=8694,,
Pittsburgh SD,Remote,8/31/2020,https://www.pghschools.org/allin,,
Pittston Area SD,Blended,9/9/2020,https://www.pittstonarea.com/index.php,,
Pleasant Valley SD,Blended,8/31/2020,https://www.pvbears.org/domain/994,,
Plum Borough SD,Blended,9/2/2020,https://www.pbsd.net/2020-21Reopening.aspx,,
Pocono Mountain SD,Remote,8/31/2020,https://www.pmsd.org/,,
Port Allegany SD,In-Person,8/26/2020,https://www.pasdedu.org/news,,
Portage Area SD,Blended,9/8/2020,http://www.portageareasd.org/,,
Pottsgrove SD,Remote,8/31/2020,https://www.pgsd.org/Page/9699,,
Pottstown SD,Remote,8/24/2020,https://www.pottstownschools.org/ResponsibleReopening.aspx,,
Pottsville Area SD,Blended,8/31/2020,https://www.pottsville.k12.pa.us/,,
Punxsutawney Area SD,In-Person,8/27/2020,https://www.punxsy.k12.pa.us/apps/pages/index.jsp?uREC_ID=1695912&type=d&pREC_ID=1856851,,
Purchase Line SD,Blended,9/8/2020,https://www.plsd.k12.pa.us/apps/pages/index.jsp?uREC_ID=797172&type=d&pREC_ID=1851067,,
Quaker Valley SD,In-Person,9/8/2020,https://www.qvsd.org/apps/pages/coronavirus,,
Quakertown Community SD,Blended,9/14/2020,https://www.qcsd.org/cms/One.aspx?portalId=20016975&pageId=24262508,,
Radnor Township SD,Remote,9/8/2020,https://www.rtsd.org/Page/22757,,
Reading SD,Remote,9/8/2020,https://www.readingsd.org/backtoschool,,
Red Lion Area SD,In-Person,8/24/2020,https://www.rlasd.net/apps/pages/index.jsp?uREC_ID=448551&type=d&pREC_ID=2002494,,
Redbank Valley SD,In-Person,8/31/2020,http://www.redbankvalley.net/index.php/2020-2021-reopening-of-school-information.html,,
Reynolds SD,Remote,8/31/2020,https://www.reynolds.k12.pa.us/protected/ArticleView.aspx?iid=63AP30B&dasi=4G20I,,
Richland SD,In-Person,8/26/2020,http://www.portageareasd.org/,,
Ridgway Area SD,In-Person,9/8/2020,https://rasd.us/about/administration/letter-from-the-superintendent/?fbclid=IwAR19RVC0GROLqjQj028UdyJ1dlpXx-0lchpEKIpocBCliTD7FH5RhVtuNT4,,
Ridley SD,Remote,9/1/2020,https://www.ridleysd.org/news/2020-2021_back_to_school,,
Ringgold SD,In-Person,8/24/2020,https://www.ringgold.org/Page/626,,
Riverside Beaver County SD,In-Person,9/1/2020,https://www.riverside.k12.pa.us/,,
Riverside SD,Blended,9/9/2020,https://www.riversidesd.com/,,
Riverview SD,Remote,8/27/2020,https://www.rsd.k12.pa.us/protected/ArticleView.aspx?iid=63API2Y&dasi=4GAI2,,
Rochester Area SD,In-Person,8/27/2020,https://www.rasd.org/Page/1603,,
Rockwood Area SD,In-Person,9/1/2020,https://www.rockwoodschools.org/cms/lib/PA02218971/Centricity/ModuleInstance/9587/Rockwood Area School District Parent Guide to Reopening.pdf,,
Rose Tree Media SD,Remote,8/31/2020,https://www.rtmsd.org/Administration2/150,,
Saint Clair Area SD,In-Person,8/31/2020,http://www.saintclairsd.org/,,
Saint Marys Area SD,In-Person,8/31/2020,https://www.smasd.org/apps/news/article/1271282,,
Salisbury Township SD,Remote,9/8/2020,https://www.salisburysd.org/article/291140?org=salisbury,,
Salisbury-Elk Lick SD,In-Person,8/31/2020,https://www.selsd.com/cms/lib/PA01001549/Centricity/Domain/4/Health and Safety Plan.pdf,,
Saucon Valley SD,In-Person,8/24/2020,https://www.svpanthers.org/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=38&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=7380&PageID=1,,
Sayre Area SD,In-Person,8/25/2020,https://www.sayresd.org/health-and-safety-plan/,,
Schuylkill Haven Area SD,Blended,8/31/2020,http://www.haven.k12.pa.us/,,
Schuylkill Valley SD,Remote,8/27/2020,https://www.schuylkillvalley.org/,,
Scranton SD,Remote,9/8/2020,https://www.scrsd.org/apps/pages/index.jsp?uREC_ID=1828329&type=d&pREC_ID=1985398,,
Selinsgrove Area SD,In-Person,8/19/2020,https://www.seal-pa.org/wp-content/uploads/2020/07/Plan-for-Reopening-Educational-Options-Update.pdf,,
Seneca Valley SD,Blended,9/2/2020,https://www.svsd.net/Page/26288,,
Shade-Central City SD,In-Person,9/1/2020,https://4.files.edl.io/6a08/08/13/20/131153-5e3eeda2-3d2d-4c3e-84b5-b53eeeea8047.pdf,,
Shaler Area SD,Remote,9/8/2020,https://www.sasd.k12.pa.us/BacktoSchool2020.aspx,,
Shamokin Area SD,In-Person,8/24/2020,https://www.indians.k12.pa.us/,,
Shanksville-Stonycreek SD,In-Person,9/1/2020,https://www.sssd.com/cms/lib/PA01001353/Centricity/Domain/1/SSSD_Phased_School_Reopening_Health_and_Safety_Plan_Summary-2020-07-14.pdf,,
Sharon City SD,Blended,8/26/2020,https://www.sharon.k12.pa.us/article/283382?org=sharon-city-school-district,,
Sharpsville Area SD,In-Person,9/8/2020,https://www.sharpsville.k12.pa.us/protected/ArticleView.aspx?iid=63A2B20&dasi=4G0BY,,
Shenandoah Valley SD,Blended,8/31/2020,https://svbluedevils.org/,,
Shenango Area SD,In-Person,8/25/2020,https://www.shenangoschools.org/2020-2021-school-year-information/return-to-school/,,
Shikellamy SD,In-Person,8/26/2020,https://shikbraves.org/blog/category/district-announcements/,,
Shippensburg Area SD,Blended,9/8/2020,http://www.shipk12.org/board-approved-health-safety-plan/,,
Slippery Rock Area SD,In-Person,8/26/2020,https://www.slipperyrock.k12.pa.us/apps/pages/index.jsp?uREC_ID=1781883&type=d&pREC_ID=1957996,,
Smethport Area SD,In-Person,8/26/2020,https://www.smethportschools.com/News,,
Solanco SD,In-Person,8/31/2020,http://www.solanco.k12.pa.us/?p=42640,,
Somerset Area SD,In-Person,9/1/2020,https://sasdpa-my.sharepoint.com/personal/jmaxwe_sasd_us/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fjmaxwe%5Fsasd%5Fus%2FDocuments%2FSASD%20COVID%2D19%20Health%20and%20Safety%20Plan%5F70820%20PDF%2Epdf&parent=%2Fpersonal%2Fjmaxwe%5Fsasd%5Fus%2FDocuments&originalPath=aHR0cHM6Ly9zYXNkcGEtbXkuc2hhcmVwb2ludC5jb20vOmI6L2cvcGVyc29uYWwvam1heHdlX3Nhc2RfdXMvRVFzQjdja0xrVVZObTFMOFZnazk1enNCaWp4YU5TaEloRFliQUFxWFZZMWNJZz9ydGltZT1rNkhUclhGSjJFZw,,
Souderton Area SD,Blended,9/8/2020,https://www.soudertonsd.org/district/2020-2021-school-year,,
South Allegheny SD,Remote,8/24/2020,https://www.southallegheny.org/site/default.aspx?PageType=3&DomainID=8&ModuleInstanceID=5694&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=13123&PageID=9,,
South Butler County SD,Blended,8/31/2020,https://www.southbutler.org/,,
South Eastern SD,In-Person,8/31/2020,http://www.sesdweb.net/UserFiles/Servers/Server_142286/File/SESD Reopening Plan (4).pdf,,
South Fayette Township SD,In-Person,9/2/2020,https://www.southfayette.org/COVID-19Updates.aspx,,
South Middleton SD,Blended,9/8/2020,http://smsd.us/welcome/back_to_school_20-21,,
South Park SD,Blended,8/31/2020,http://sparksd.org/reopening___planning,,
South Side Area SD,In-Person,9/1/2020,https://www.sssd.k12.pa.us/,,
South Western SD,Blended,8/24/2020,https://www.swsd.k12.pa.us/UserFiles/Servers/Server_28788666/File/COVID-19/2020-21 School Reopening Instructional Options July 23 2020.pdf,,
South Williamsport Area SD,Blended,9/2/2020,https://www.swasd.org/responding-to-covid-19/,,
Southeast Delco SD,Remote,9/8/2020,https://www.sedelco.org/,,
Southeastern Greene SD,Blended,8/27/2020,https://www.segsd.org/article/279849,,
Southern Columbia Area SD,In-Person,8/25/2020,http://www.scasd.us/district/scasd-covid-19-update-page,,
Southern Fulton SD,In-Person,8/19/2020,https://www.sfsd.k12.pa.us/DistrictnewsArticles.aspx,,
Southern Huntingdon County SD,Blended,8/26/2020,https://www.shcsd.org/apps/news/,,
Southern Lehigh SD,Blended,8/31/2020,https://www.slsd.org/domain/1307,,
Southern Tioga SD,Blended,8/26/2020,https://drive.google.com/file/d/18WIj4exZ0dB3DOAlbJHIsfbk-6qJFfSN/view,,
Southern York County SD,Blended,8/21/2020,https://www.sycsd.org/domain/423,,
Southmoreland SD,Blended,9/8/2020,https://pa01000599.schoolwires.net/cms/lib/PA01000599/Centricity/Domain/557/Instructional Fact Sheet.pdf,,
Spring Cove SD,In-Person,8/25/2020,https://www.springcovesd.org/apps/pages/index.jsp?uREC_ID=1198676&type=d&pREC_ID=1976322,,
Spring Grove Area SD,In-Person,8/24/2020,https://www.sgasd.org/domain/940,,
Spring-Ford Area SD,Remote,9/8/2020,https://www.spring-ford.net/about-spring-ford/reopening-plan,,
Springfield SD,Remote,9/8/2020,https://www.ssdcougars.org/district/district-news/news-post/~post/ssd-virtual-learning-plan-20200818,,
Springfield Township SD,Remote,9/8/2020,https://docs.google.com/presentation/d/e/2PACX-1vS4ZR-FdbA9Ai_PcEO4K1zv6Kde2WAK354AtK-mMsIRIEY6d_3c7q-ZHPkPesbDPe908lL8lwWCP5m-/pub?start=false&loop=false&delayms=10000,,
State College Area SD,Blended,8/26/2020,https://www.scasd.org/covid19,,
Steel Valley SD,Blended,9/8/2020,https://www.steelvalleysd.org/parents-students,,
Steelton-Highspire SD,Remote,8/31/2020,https://www.shsd.k12.pa.us/site/default.aspx?PageType=3&DomainID=222&ModuleInstanceID=4404&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=5367&PageID=1592,,
Sto-Rox SD,Remote,8/27/2020,https://www.srsd.k12.pa.us/,,
Stroudsburg Area SD,Blended,9/8/2020,https://www.sburg.org/apps/news/show_news.jsp?REC_ID=659229&id=0,,
Sullivan County SD,In-Person,8/20/2020,https://www.sulcosd.k12.pa.us/,,
Susquehanna Community SD,In-Person,8/31/2020,http://www.scschools.org/media/100961/scsd-school-reopening-health-and-safety-plan.pdf,,
Susquehanna Township SD,In-Person,9/8/2020,https://www.hannasd.org/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=2803&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=31198&PageID=1,,
Susquenita SD,Blended,8/31/2020,https://www.susq.k12.pa.us/,,
Tamaqua Area SD,In-Person,8/26/2020,https://www.tamaqua.k12.pa.us/site/default.aspx?PageType=14&DomainID=1&PageID=1&ModuleInstanceID=721&ViewID=606008db-225b-4ad2-8f7b-9ebac54372c1&IsMoreExpandedView=True,,
Titusville Area SD,Blended,9/1/2020,https://gorockets.org/,,
Towanda Area SD,In-Person,8/31/2020,https://www.tsd.k12.pa.us/apps/pages/index.jsp?uREC_ID=1715910&type=d&pREC_ID=1982629,,
Tredyffrin-Easttown SD,Remote,9/8/2020,https://www.tesd.net/Page/16600,,
Tri-Valley SD,Blended,8/24/2020,https://sites.google.com/a/tvdawgs.net/district01/,,
Trinity Area SD,Blended,9/8/2020,https://www.trinitypride.org/userfiles/2/My Files/Revised Start of School 2020-2021.pdf?id=3651,,
Troy Area SD,In-Person,8/27/2020,https://www.troyareasd.org/protected/ArticleView.aspx?iid=402AY&dasi=222,,
Tulpehocken Area SD,Blended,9/8/2020,https://www.tulpehocken.org/,,
Tunkhannock Area SD,Blended,9/9/2020,https://www.tasd.net/files/8815/9561/8919/Tunkhannnock_Area_School_District_Phased_School_Reopening_Health_and_Safety_Plan.pdf,,
Turkeyfoot Valley Area SD,In-Person,9/1/2020,http://turketfoot.ss11.sharpschool.com/UserFiles/Servers/Server_637113/File/APPROVED - School Re-opening Plan TVASD (upload for website).pdf,,
Tuscarora SD,Blended,8/31/2020,https://www.tus.k12.pa.us/apps/news/,,
Tussey Mountain SD,In-Person,8/24/2020,https://www.tmsd.net/,,
Twin Valley SD,Blended,8/25/2020,https://www.tvsd.org/cms/one.aspx?portalId=105548&pageId=43610450,,
Tyrone Area SD,Blended,8/25/2020,https://www.tyrone.k12.pa.us/domain/388,,
Union Area SD,Remote,9/8/2020,https://www.unionareasd.org/2020/08/back-to-school-information/,,
Union City Area SD,In-Person,8/25/2020,http://www.ucasd.org/COVID-19Information.aspx,,
Union SD,In-Person,8/26/2020,https://www.unionsd.net/covid-related-information.html,,
Uniontown Area SD,Remote,9/8/2020,http://uasdraiders.org/wp-content/uploads/2020/08/UASD-Reopening-Letter-8_12_20.pdf,,
Unionville-Chadds Ford SD,Remote,9/8/2020,https://www.ucfsd.org/health-and-safety-plan,,
United SD,In-Person,8/26/2020,https://www.unitedsd.net/apps/pages/index.jsp?uREC_ID=1697915&type=d&pREC_ID=1859176,,
Upper Adams SD,Blended,8/19/2020,https://www.lasd.k12.pa.us/updates/2020-2021-sy,,
Upper Darby SD,Remote,8/31/2020,https://pa02209738.schoolwires.net/Page/7413,,
Upper Dauphin Area SD,In-Person,8/24/2020,https://udasd.org/school-reopening-information/,,
Upper Dublin SD,Remote,9/8/2020,https://www.udsd.org/,,
Upper Merion Area SD,Remote,8/31/2020,https://www.umasd.org/Page/11466,,
Upper Moreland Township SD,Remote,8/31/2020,https://www.umtsd.org/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=861&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=13823&PageID=1,,
Upper Perkiomen SD,Remote,8/31/2020,https://www.upsd.org/,,
Upper Saint Clair SD,Blended,9/8/2020,https://www.uscsd.k12.pa.us/domain/1000,,
Valley Grove SD,Blended,9/1/2020,https://www.vgsd.org/Page/1248,,
Valley View SD,Remote,8/26/2020,https://www.valleyviewsd.org/,,
Wallenpaupack Area SD,In-Person,9/8/2020,http://www.wallenpaupack.org/stuff/reopening/WASD_2020-2021_Health_and_Safety_Plan.pdf,,
Wallingford-Swarthmore SD,Remote,8/31/2020,https://www.wssd.org/Domain/955,,
Warren County SD,In-Person,9/1/2020,https://www.wcsdpa.org/cms/lib/PA02203612/Centricity/Domain/8/WCSD - Health and Safety Plan rev2 7.16.20.pdf,,
Warrior Run SD,In-Person,8/20/2020,https://drive.google.com/file/d/1kcHilTecvhbcRcc75bSNLD6dczdmyImn/view?usp=sharing,,
Warwick SD,In-Person,9/1/2020,https://sites.google.com/warwicksd.org/covid-19-news-center/home,,
Washington SD,Blended,9/8/2020,https://www.washington.k12.pa.us/docs/school 20-21/Washington School District Phased School Reopening .pdf,,
Wattsburg Area SD,Blended,9/8/2020,https://filecabinet1.eschoolview.com/EB055DF8-1F2E-4D35-B6B6-283E628BB5A1/SummaryWASDRe_EntryPlan_FInal.pdf,,
Wayne Highlands SD,In-Person,9/8/2020,https://www.whsdk12.com/download_file/view/801/1,,
Waynesboro Area SD,Blended,8/31/2020,https://www.wasd.k12.pa.us/article/278309?org=wasdpa,,
Weatherly Area SD,Remote,8/31/2020,http://www.weatherlysd.org/,,
Wellsboro Area SD,In-Person,8/31/2020,https://www.wellsborosd.org/wp-content/uploads/2020/07/Revised-WASD-Phased-School-Reopening-Health-and-Safety-Plan-revised_-002-REVISED-7.13.20.pdf,,
West Allegheny SD,In-Person,8/25/2020,http://www.westasd.org/Downloads/Phased School Reopening Health and Safety Plan 7-22-20.pdf,,
West Branch Area SD,Blended,8/27/2020,https://www.westbranch.org/,,
West Chester Area SD,Remote,8/31/2020,https://www.wcasd.net/cms/lib/PA02203541/Centricity/Domain/6199/Phased School Reopening Health and Safety Plan.pdf,,
West Greene SD,In-Person,8/27/2020,https://drive.google.com/file/d/10bNXd90cdr4Oxwvo2izba3fTWAyxOaek/view,,
West Jefferson Hills SD,Blended,8/24/2020,https://www.wjhsd.net/Downloads/WJHSD Phased School Reopening Health and Safety Plan.pdf,,
West Middlesex Area SD,In-Person,8/31/2020,https://drive.google.com/drive/folders/1bJN9uM-08w7qriwQ8He9CttDI3uM3g_U,,
West Mifflin Area SD,In-Person,8/26/2020,http://wmasd.org/common/pages/UserFile.aspx?fileId=13428568,,
West Perry SD,Blended,8/24/2020,http://www.westperry.org/news/covid-19,,
West Shore SD,Remote,8/25/2020,https://www.wssd.k12.pa.us/Downloads/DRAFT-HeathSafetyPlan-08-2020.pdf,,
West York Area SD,Blended,8/24/2020,https://233b8623-6bc4-4fc2-b6e3-40dcbeca2827.filesusr.com/ugd/13e090_c3ce919622e14265ac3c682e2cb5fe41.pdf,,
Western Beaver County SD,In-Person,9/8/2020,https://www.westernbeaver.org/o/wbsd/page/phased-school-reopening-health-and-safety-plan-wbcsd,,
Western Wayne SD,In-Person,9/8/2020,https://ww3.westernwayne.org/download/279/reopening/16165/health-and-safety-plan-template-draft-july-29-2020.pdf,,
Westmont Hilltop SD,Blended,8/26/2020,https://www.whsd.org/apps/news/article/1257281,,
Whitehall-Coplay SD,Blended,8/31/2020,https://www.whitehallcoplay.org/,,
Wilkes-Barre Area SD,In-Person,9/10/2020,https://www.wbasd.k12.pa.us/Default.aspx,,
Wilkinsburg Borough SD,Remote,8/31/2020,https://www.wilkinsburgschools.org/please-take-some-time-to-download-and-read-our-educationally-strong-virtual-and-online-learning-plan-for-the-wilkinsburg-school-district-which-will-commence-on-august-31-2020/,,
William Penn SD,Remote,9/14/2020,https://www.williampennsd.org/reopening2020,,
Williams Valley SD,Blended,8/31/2020,https://www.wvschools.net/wvsd/,,
Williamsburg Community SD,Blended,8/24/2020,https://www.williamsburg.k12.pa.us/,,
Williamsport Area SD,Blended,9/1/2020,https://www.swasd.org/responding-to-covid-19/,,
Wilmington Area SD,Blended,9/1/2020,https://www.wilmington.k12.pa.us/,,
Wilson Area SD,Blended,8/31/2020,http://www.wilsonareasd.org/,,
Wilson SD,Blended,8/26/2020,http://www.google.com/url?q=http%3A%2F%2Fwww.wilsonsd.org%2Fwp-content%2Fuploads%2F2020%2F07%2F7_20_20WSD-FINAL-Phased-School-Reopening-Health-and-Safety-Plan-1.pdf&sa=D&sntz=1&usg=AFQjCNF_FfXB7GeDjTUJCD129HyvbBKOAw,,
Windber Area SD,In-Person,8/26/2020,https://www.windberschools.org/apps/pages/index.jsp?uREC_ID=1695332&type=d&pREC_ID=1966939,,
Wissahickon SD,Blended,8/31/2020,https://www.wsdweb.org/covid-19/fall-re-opening-plan,,
